
Start_ns, stop_ns,  spent_ns
211544607, 212005407, 460800
212122207, 212591807, 469600
212709293, 213180950, 471657
213299350, 214080264, 780914
214208836, 214719579, 510743
214837979, 215308150, 470171
215426093, 215896379, 470286
216014207, 216484721, 470514
216602778, 217070093, 467315
217188493, 217829750, 641257
217955007, 218438322, 483315
218556150, 219021636, 465486
219137636, 219605179, 467543
219722436, 220194321, 471885
220312264, 220781978, 469714
220899807, 221371350, 471543
221751007, 222306207, 555200
222425407, 222898779, 473372
223016721, 223487579, 470858
223605293, 224076950, 471657
224195236, 224655121, 459885
224772721, 225237407, 464686
225355121, 226000950, 645829
226126322, 226597864, 471542
226715350, 227186093, 470743
227302321, 227768493, 466172
227887007, 228347121, 460114
228462893, 228929864, 466971
229049521, 229653636, 604115
229779007, 230294893, 515886
230414207, 230889064, 474857
231008150, 231483579, 475429
231603007, 232073178, 470171
232192036, 232661750, 469714
232781178, 233240835, 459657
233358550, 234199693, 841143
234332722, 234848036, 515314
234967350, 235439350, 472000
235559236, 236032607, 473371
236152378, 236621864, 469486
236741636, 237210093, 468457
237329064, 237980493, 651429
238109064, 238592150, 483086
239140379, 239695807, 555428
239814779, 240286093, 471314
240404378, 240877293, 472915
240995350, 241603465, 608115
241730665, 242242779, 512114
242360950, 242831693, 470743
242949750, 243415579, 465829
243531807, 243998893, 467086
244116721, 244587578, 470857
244705750, 245172150, 466400
245289635, 246134436, 844801
246267236, 246785979, 518743
246904607, 247380036, 475429
247497864, 247966436, 468572
248084036, 248549864, 465828
248666321, 249125864, 459543
249243235, 249884265, 641030
250010322, 250490779, 480457
250608379, 251080150, 471771
251198321, 251664150, 465829
251781864, 252244264, 462400
252360836, 252817750, 456914
252934093, 253406664, 472571
253662207, 254192493, 530286
254311122, 254781750, 470628
254900036, 255362779, 462743
255480379, 255950779, 470400
256069064, 256532721, 463657
256649978, 257118778, 468800
257237064, 258011693, 774629
258140493, 258651007, 510514
258768607, 259228493, 459886
259345750, 259815579, 469829
259933864, 260398207, 464343
260515693, 260988378, 472685
261106893, 261741407, 634514
261866893, 262356036, 489143
262473864, 262938436, 464572
263056721, 263523350, 466629
263639693, 264111236, 471543
264228721, 264700836, 472115
264819807, 265286778, 466971
265404150, 266044722, 640572
266170322, 266634664, 464342
266750207, 267219121, 468914
267337979, 267805864, 467885
267923579, 268392607, 469028
268509407, 268976036, 466629
269092378, 269840150, 747772
269969065, 270495236, 526171
270613064, 271084036, 470972
271202321, 271671693, 469372
271789064, 272258207, 469143
272377178, 272839121, 461943
272955464, 273423350, 467886
273684493, 274210893, 526400
274328836, 274799693, 470857
