
Start_ns, stop_ns,  spent_ns
987804000, 988903657, 1099657
989166972, 990288572, 1121600
990411772, 991537600, 1125828
991660572, 993339086, 1678514
993467086, 994610972, 1143886
994730972, 995829486, 1098514
995946857, 997193486, 1246629
997316000, 998442857, 1126857
998565943, 999668457, 1102514
999786857, 902514, -998884343
1172915, 2304115, 1131200
2425143, 3545943, 1120800
3662400, 4769600, 1107200
4887543, 5993257, 1105714
6249600, 7377486, 1127886
7498972, 8590400, 1091428
8707429, 9797029, 1089600
9912000, 11162058, 1250058
11285029, 12413143, 1128114
12535086, 13628114, 1093028
13745029, 14835200, 1090171
14952686, 16191543, 1238857
16313829, 17437486, 1123657
17559886, 18663657, 1103771
18780914, 19882286, 1101372
20000114, 21264343, 1264229
21386057, 22494286, 1108229
22615657, 23704114, 1088457
23821257, 24906743, 1085486
25169600, 26282515, 1112915
26404686, 27532114, 1127428
27654400, 28745257, 1090857
28862057, 29970971, 1108914
30229943, 31362286, 1132343
31485257, 32596800, 1111543
32715086, 33814857, 1099771
33934629, 35170972, 1236343
35294515, 36434172, 1139657
36557486, 37656343, 1098857
37775200, 38877143, 1101943
38997143, 40241829, 1244686
40364915, 41491657, 1126742
41615200, 42690972, 1075772
42808571, 43900800, 1092229
44171200, 45291200, 1120000
45413715, 46520914, 1107199
46644800, 47731543, 1086743
48535886, 49806514, 1270628
49928457, 51166629, 1238172
51791771, 53152229, 1360458
53277257, 54408229, 1130972
54530629, 55628914, 1098285
55745486, 56846057, 1100571
56963543, 58204686, 1241143
58326286, 59441029, 1114743
59563543, 60696457, 1132914
60814857, 61901486, 1086629
62163086, 63285372, 1122286
63406857, 64503543, 1096686
64625714, 65707543, 1081829
65824914, 66911771, 1086857
67178743, 68313257, 1134514
68435543, 69540343, 1104800
69662400, 70758057, 1095657
70875086, 71977029, 1101943
72234286, 73381029, 1146743
73502972, 74619657, 1116685
74736800, 75823771, 1086971
75940571, 77166172, 1225601
77290172, 78415657, 1125485
78538514, 79643657, 1105143
79760457, 80867543, 1107086
80985257, 82226400, 1241143
82348343, 83490515, 1142172
83612686, 84695543, 1082857
84811771, 85929257, 1117486
86199429, 87313143, 1113714
87434286, 88532914, 1098628
88651772, 89760686, 1108914
89877714, 91134743, 1257029
91258515, 92381372, 1122857
92503086, 93609143, 1106057
93726743, 94810171, 1083428
94925943, 96173600, 1247657
96295543, 97405257, 1109714
97527886, 98635772, 1107886
98752914, 99842286, 1089372
99958286, 101199200, 1240914
101321029, 102445943, 1124914
102568457, 103683886, 1115429
103803086, 104900686, 1097600
105164229, 106294172, 1129943
106417143, 107522972, 1105829
107645829, 108730286, 1084457
108847886, 109951429, 1103543
110212229, 111335200, 1122971
111458400, 112556343, 1097943
112674743, 113771429, 1096686
113888914, 115013143, 1124229
115273943, 116403429, 1129486
116527086, 117625257, 1098171
117742172, 118847314, 1105142
118966743, 120210058, 1243315
120332915, 121446400, 1113485
