
Start_ns, stop_ns,  spent_ns
6528114, 7828228, 1300114
7948456, 9430742, 1482286
9555085, 10852342, 1297257
10972228, 12459085, 1486857
12582628, 13873256, 1290628
14143314, 15491199, 1347885
15614857, 16902171, 1287314
17173028, 18570971, 1397943
18693256, 19995199, 1301943
20262171, 21607999, 1345828
21727314, 23192457, 1465143
23316799, 24648685, 1331886
24766742, 26266171, 1499429
26390628, 27756914, 1366286
27878514, 29359085, 1480571
29484342, 30798856, 1314514
30919542, 32409599, 1490057
32534742, 33838171, 1303429
33959314, 35430971, 1471657
35554857, 36853256, 1298399
36973942, 38442742, 1468800
38566857, 39861714, 1294857
39982971, 41449142, 1466171
41573828, 42866399, 1292571
43141028, 44484114, 1343086
44607771, 45913828, 1306057
46195771, 47542399, 1346628
47664571, 49824799, 2160228
49947885, 51445942, 1498057
51570628, 52895885, 1325257
53016571, 54520114, 1503543
54643428, 55942514, 1299086
56216228, 57569828, 1353600
57692799, 59001485, 1308686
59270971, 60607199, 1336228
60728228, 62237371, 1509143
62361828, 63754628, 1392800
63876799, 65371428, 1494629
65498857, 66811314, 1312457
66933142, 68422399, 1489257
68547428, 69855199, 1307771
69977028, 71455085, 1478057
71579771, 72892342, 1312571
73012685, 74511085, 1498400
74635656, 75938056, 1302400
76209028, 77543999, 1334971
77666628, 78982971, 1316343
79254285, 80609028, 1354743
80731885, 82241485, 1509600
82365257, 83752914, 1387657
84595428, 86227771, 1632343
86353942, 87728799, 1374857
87849828, 89325028, 1475200
89448571, 90798971, 1350400
90919999, 92399542, 1479543
92524342, 93830971, 1306629
93951999, 95435771, 1483772
95559771, 96854171, 1294400
96974514, 98456114, 1481600
98579771, 99867428, 1287657
99987771, 101476685, 1488914
101601142, 102905371, 1304229
103182628, 104518742, 1336114
104643428, 105938856, 1295428
106213485, 107551428, 1337943
107675428, 109169485, 1494057
109297828, 110630514, 1332686
110751314, 112258057, 1506743
112382742, 113742285, 1359543
113863314, 115359199, 1495885
115485599, 116804799, 1319200
116927085, 118420685, 1493600
118546285, 119846056, 1299771
119967885, 121443657, 1475772
121569028, 122882856, 1313828
123152457, 124509599, 1357142
124633714, 125932799, 1299085
126206971, 127543999, 1337028
127667771, 128981714, 1313943
129254285, 130616342, 1362057
130736799, 132199085, 1462286
132324114, 133655428, 1331314
133774399, 135281599, 1507200
135406742, 136769256, 1362514
136891085, 138389371, 1498286
138514857, 139826628, 1311771
139948114, 141416685, 1468571
141541371, 142845828, 1304457
142967885, 144446171, 1478286
144570971, 145887771, 1316800
146008914, 147516342, 1507428
147641257, 148939771, 1298514
149210857, 150548571, 1337714
150673256, 152167542, 1494286
152294971, 153639999, 1345028
