
Start_ns, stop_ns,  spent_ns
744904685, 746374514, 1469829
746499428, 747856228, 1356800
747976914, 750553942, 2577028
750681256, 751975771, 1294515
752245371, 753619314, 1373943
753742514, 755029828, 1287314
755298857, 756636685, 1337828
756758171, 758202285, 1444114
758329828, 759659656, 1329828
759780228, 762332457, 2552229
762461485, 763945485, 1484000
764226857, 765553599, 1326742
765680914, 767025599, 1344685
767294285, 768666514, 1372229
768787199, 770265028, 1477829
770390742, 772329028, 1938286
772461142, 773640456, 1179314
773759999, 775945599, 2185600
776234399, 777583085, 1348686
777708685, 778999656, 1290971
779271542, 780655999, 1384457
780776456, 782256114, 1479658
782381257, 783737828, 1356571
783859428, 786518857, 2659429
786655428, 788461828, 1806400
788588342, 789957599, 1369257
790242399, 791587656, 1345257
791712114, 793199085, 1486971
793324571, 794653942, 1329371
794775085, 796258742, 1483657
796384571, 798763314, 2378743
798885371, 800381942, 1496571
800513714, 801906856, 1393142
802027771, 803515885, 1488114
803643199, 804938971, 1295772
805220685, 806603542, 1382857
806727656, 808910285, 2182629
809210399, 810588342, 1377943
810715199, 812020228, 1305029
812295885, 813644571, 1348686
813766171, 815256914, 1490743
815383885, 816745485, 1361600
816867314, 818351085, 1483771
818478742, 820795771, 2317029
820918171, 822417942, 1499771
822546057, 823877142, 1331085
824707542, 826318857, 1611315
826443657, 827810399, 1366742
827931542, 829411314, 1479772
829538399, 831519085, 1980686
831646285, 832943428, 1297143
833222857, 834548342, 1325485
834674628, 835965599, 1290971
836241485, 837579885, 1338400
837706399, 839046514, 1340115
839317599, 840731314, 1413715
840852114, 843414285, 2562171
843542857, 844889714, 1346857
845009942, 846509371, 1499429
846635542, 847966056, 1330514
848240114, 849580342, 1340228
849705828, 850994285, 1288457
851266514, 852643199, 1376685
853722285, 855218057, 1495772
855345257, 856731885, 1386628
856852114, 858293828, 1441714
858420342, 860029828, 1609486
860306971, 861672914, 1365943
861793942, 863283771, 1489829
863410971, 865685828, 2274857
865806971, 867294742, 1487771
867421371, 868794514, 1373143
868916914, 870391428, 1474514
870518514, 871823656, 1305142
871944456, 873416571, 1472115
873542742, 874857828, 1315086
874980914, 877539885, 2558971
877668799, 878969714, 1300915
879243657, 880630628, 1386971
880751999, 882050971, 1298972
882319542, 883740914, 1421372
883861828, 885354171, 1492343
885481599, 886802285, 1320686
887875999, 889423771, 1547772
889551085, 890899656, 1348571
891020228, 892548685, 1528457
