
Start_ns, stop_ns,  spent_ns
415547314, 416928000, 1380686
417208115, 418609257, 1401142
418732000, 420253486, 1521486
420379543, 421735543, 1356000
421857714, 423341715, 1484001
423467886, 424799314, 1331428
424923657, 426423543, 1499886
426550286, 427865257, 1314971
427988571, 429496115, 1507544
429624914, 430946857, 1321943
431225715, 432628572, 1402857
432751771, 434270057, 1518286
434396229, 435781486, 1385257
435904571, 437413715, 1509144
437540457, 438918629, 1378172
439203429, 440550286, 1346857
440674172, 441985600, 1311428
442256343, 443603657, 1347314
443725943, 445247658, 1521715
445373486, 446753600, 1380114
446876914, 448365029, 1488115
448491543, 449818057, 1326514
449941486, 451417372, 1475886
451543886, 452872000, 1328114
452993371, 454478629, 1485258
454603657, 455928914, 1325257
456211543, 457618743, 1407200
457741829, 459262857, 1521028
459389372, 460822171, 1432799
460945371, 462434172, 1488801
462560686, 463873257, 1312571
463996914, 465471772, 1474858
465596800, 466965257, 1368457
467240115, 468637486, 1397371
468760686, 470277029, 1516343
470403772, 471813829, 1410057
471936914, 473473372, 1536458
473600114, 474974286, 1374172
475249029, 476650057, 1401028
476773029, 478292457, 1519428
478419543, 479834743, 1415200
479958286, 481487657, 1529371
481614057, 482988000, 1373943
483261943, 484166515, 904572
484294857, 486334286, 2039429
486465600, 487851543, 1385943
487975657, 489456800, 1481143
489584114, 490885714, 1301600
491701143, 493342057, 1640914
493470629, 494788914, 1318285
494912000, 496409715, 1497715
496536800, 497912571, 1375771
498196229, 499554629, 1358400
499678972, 501003543, 1324571
501273600, 502605486, 1331886
502728229, 504240800, 1512571
504367086, 505725486, 1358400
505847429, 507335315, 1487886
507462172, 508795886, 1333714
508918971, 510408343, 1489372
510534286, 511854286, 1320000
511977257, 513474400, 1497143
513600000, 514890857, 1290857
515168800, 516509829, 1341029
516635543, 518005257, 1369714
518276343, 519680114, 1403771
519801943, 521299200, 1497257
521426057, 522785600, 1359543
522908229, 524410286, 1502057
524537257, 525853600, 1316343
525976000, 527453715, 1477715
527580000, 528881257, 1301257
529003657, 530485486, 1481829
530611200, 531907543, 1296343
532190972, 533594057, 1403085
533718972, 535166400, 1447428
535296800, 536732229, 1435429
536855429, 538339429, 1484000
538465829, 539797829, 1332000
539920686, 541414515, 1493829
541540914, 542859086, 1318172
542981943, 544470400, 1488457
544596572, 545894629, 1298057
546173143, 547512115, 1338972
547638057, 549004228, 1366171
549276000, 550627886, 1351886
550749714, 552251086, 1501372
552377257, 553757829, 1380572
553881371, 555365943, 1484572
